t=2026-03-27T00:41:20-0400 lvl=info msg="no configuration paths supplied"
t=2026-03-27T00:41:20-0400 lvl=info msg="using configuration at default config path" path=/home/siqiouya/.config/ngrok/ngrok.yml
t=2026-03-27T00:41:20-0400 lvl=info msg="open config file" path=/home/siqiouya/.config/ngrok/ngrok.yml err=nil
t=2026-03-28T23:02:07-0400 lvl=info msg="join connections" obj=join id=8e187db2387f l=127.0.0.1:8199 r=3.228.45.243:44391
t=2026-03-28T23:02:08-0400 lvl=info msg="join connections" obj=join id=eaf3cd5dcb78 l=127.0.0.1:8199 r=3.228.45.243:36826
t=2026-03-28T23:02:10-0400 lvl=info msg="join connections" obj=join id=51253817c732 l=127.0.0.1:8199 r=3.228.45.243:13274
t=2026-03-28T23:02:11-0400 lvl=info msg="join connections" obj=join id=5684287b1d51 l=127.0.0.1:8199 r=3.228.45.243:55819
t=2026-03-28T23:02:13-0400 lvl=info msg="join connections" obj=join id=2fef1af0108a l=127.0.0.1:8199 r=3.228.45.243:24966
t=2026-03-28T23:02:14-0400 lvl=info msg="join connections" obj=join id=346318748138 l=127.0.0.1:8199 r=3.228.45.243:52029
t=2026-03-28T23:02:15-0400 lvl=info msg="join connections" obj=join id=2c885864fd25 l=127.0.0.1:8199 r=3.228.45.243:14970
t=2026-03-28T23:02:17-0400 lvl=info msg="join connections" obj=join id=a284e566d737 l=127.0.0.1:8199 r=3.228.45.243:47052
t=2026-03-28T23:02:18-0400 lvl=info msg="join connections" obj=join id=8f49f8bd14db l=127.0.0.1:8199 r=3.228.45.243:17945
t=2026-03-28T23:02:20-0400 lvl=info msg="join connections" obj=join id=d64c164e4190 l=127.0.0.1:8199 r=3.228.45.243:26230
t=2026-03-28T23:02:21-0400 lvl=info msg="join connections" obj=join id=fc5ff0ea7c3d l=127.0.0.1:8199 r=3.228.45.243:14431
t=2026-03-28T23:02:22-0400 lvl=info msg="join connections" obj=join id=2e4f0207e98c l=127.0.0.1:8199 r=3.228.45.243:53928
t=2026-03-28T23:02:24-0400 lvl=info msg="join connections" obj=join id=bef893bec300 l=127.0.0.1:8199 r=3.228.45.243:7085
t=2026-03-28T23:02:26-0400 lvl=info msg="join connections" obj=join id=63041f912a81 l=127.0.0.1:8199 r=3.228.45.243:45434
t=2026-03-28T23:02:28-0400 lvl=info msg="join connections" obj=join id=ac9071dfb32e l=127.0.0.1:8199 r=3.228.45.243:50628
t=2026-03-28T23:02:29-0400 lvl=info msg="join connections" obj=join id=a48fe743f634 l=127.0.0.1:8199 r=3.228.45.243:20064
t=2026-03-28T23:02:32-0400 lvl=info msg="join connections" obj=join id=b68c23d91f72 l=127.0.0.1:8199 r=3.228.45.243:4847
t=2026-03-28T23:02:35-0400 lvl=info msg="join connections" obj=join id=123cef8d1ca5 l=127.0.0.1:8199 r=3.228.45.243:61184
t=2026-03-28T23:02:36-0400 lvl=info msg="join connections" obj=join id=2645104f48e8 l=127.0.0.1:8199 r=3.228.45.243:41536
t=2026-03-28T23:02:38-0400 lvl=info msg="join connections" obj=join id=894bf8a1aa71 l=127.0.0.1:8199 r=3.228.45.243:9201
t=2026-03-28T23:02:39-0400 lvl=info msg="join connections" obj=join id=6c835250623f l=127.0.0.1:8199 r=3.228.45.243:59957
t=2026-03-28T23:03:02-0400 lvl=info msg="join connections" obj=join id=bff453748e85 l=127.0.0.1:8199 r=3.228.45.243:43554
t=2026-03-28T23:03:06-0400 lvl=info msg="join connections" obj=join id=3797c8af5862 l=127.0.0.1:8199 r=3.228.45.243:57504
t=2026-03-28T23:03:08-0400 lvl=info msg="join connections" obj=join id=f316f8f4bda9 l=127.0.0.1:8199 r=3.228.45.243:32840
t=2026-03-28T23:03:16-0400 lvl=info msg="join connections" obj=join id=a92e4cf38e58 l=127.0.0.1:8199 r=3.228.45.243:4000
t=2026-03-28T23:03:18-0400 lvl=info msg="join connections" obj=join id=a6f0ebfa8fa8 l=127.0.0.1:8199 r=3.228.45.243:1820
t=2026-03-28T23:03:19-0400 lvl=info msg="join connections" obj=join id=6088dcf8221c l=127.0.0.1:8199 r=3.228.45.243:36330
t=2026-03-28T23:03:22-0400 lvl=info msg="join connections" obj=join id=8f007a1a2a7b l=127.0.0.1:8199 r=3.228.45.243:46124
t=2026-03-28T23:03:23-0400 lvl=info msg="join connections" obj=join id=b5d4ea273857 l=127.0.0.1:8199 r=3.228.45.243:18285
t=2026-03-28T23:03:25-0400 lvl=info msg="join connections" obj=join id=48c37194fba0 l=127.0.0.1:8199 r=3.228.45.243:18332
t=2026-03-28T23:03:27-0400 lvl=info msg="join connections" obj=join id=b8cd683427d9 l=127.0.0.1:8199 r=3.228.45.243:28182
t=2026-03-28T23:03:29-0400 lvl=info msg="join connections" obj=join id=3da62839832b l=127.0.0.1:8199 r=3.228.45.243:49541
t=2026-03-28T23:03:32-0400 lvl=info msg="join connections" obj=join id=40c5dc39a7c4 l=127.0.0.1:8199 r=3.228.45.243:45403
t=2026-03-28T23:03:34-0400 lvl=info msg="join connections" obj=join id=79de0273e7ef l=127.0.0.1:8199 r=3.228.45.243:27692
t=2026-03-28T23:03:35-0400 lvl=info msg="join connections" obj=join id=bf4a602f4799 l=127.0.0.1:8199 r=3.228.45.243:10236
t=2026-03-28T23:03:37-0400 lvl=info msg="join connections" obj=join id=1530b9a51faf l=127.0.0.1:8199 r=3.228.45.243:55353
t=2026-03-28T23:03:39-0400 lvl=info msg="join connections" obj=join id=d67af0b8d7e7 l=127.0.0.1:8199 r=3.228.45.243:34069
t=2026-03-28T23:03:41-0400 lvl=info msg="join connections" obj=join id=52ac5842aa3e l=127.0.0.1:8199 r=3.228.45.243:61048
